           0         1                   2
0  -1.949488  2.979766                  C0
1  -1.406498  2.181719                  C0
2   0.054572  1.097451                  C0
3  -0.935271  5.312452                  C0
4   1.598947  3.535428                  C0
5  -0.731745 -0.173804                  C0
6   1.302720  2.027883                  C0
7  -0.654739  1.961010                  C0
8   0.248038  1.141469                  C0
9  -1.693209 -0.649851                  C0
10 -3.199713 -2.103417                  C0
11 -2.755474 -0.456333                  C1
12 -2.474350 -0.734787                  C1
13 -2.225912 -0.887536                  C1
14 -2.565908 -0.972269                  C1
15 -2.508166 -0.524934                  C1
16 -1.973947 -0.109873                  C1
17 -2.679097 -0.172011                  C1
18 -2.049151 -0.847307                  C1
19 -2.513344 -0.138586                  C1
20 -2.557531 -1.723377                  C1
21 -1.389194 -0.284962                  C2
22 -0.776032  0.221122                  C2
23 -1.387943 -0.026513                  C2
24 -1.510273  0.816104                  C2
25 -1.674479 -0.207244                  C2
26 -2.121766 -0.157644                  C2
27 -1.904922 -0.492034                  C2
28 -1.449933 -0.338953                  C2
29 -2.153559 -0.146933                  C2
30 -0.720952 -1.334875                  C2
31 -1.437556 -0.511429                  C3
32  1.096347  0.205410                  C3
33 -0.275734 -0.427320                  C3
34 -0.953779 -1.263496                  C3
35 -1.889583 -0.929957                  C3
36 -1.521789 -0.355877                  C3
37 -1.967298 -1.285574                  C3
38 -0.482127 -0.381481                  C3
39 -1.073449 -0.345657                  C3
40  6.792683 -1.586820                  C4
41  6.136840 -0.290805                  C4
42  4.890663  0.785053                  C4
43  6.499080 -0.979607                  C4
44  6.753821 -1.491083                  C4
45  1.589010  0.369480                  C4
46  5.351898  0.888101                  C4
47  5.568847 -0.401511                  C4
48  5.335149  0.515722                  C4
49  6.345298 -1.304311                  C4
